symbol,name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %
SHANTIGEAR,Shanthi Gears,420.00,40.24,3222.07,1.19,16.27,-17.10,135.10,-11.82,25.55
GOPAL,Gopal Snacks,258.25,72.32,3219.52,0.39,29.95,119.01,409.63,29.02,12.14
JASH,Jash Engineering,508.00,42.14,3210.24,0.39,56.65,56.91,290.54,-3.28,17.69
ARSSBL,Anand Rathi Shar,508.20,21.71,3205.03,0.98,23.51,67.57,245.68,22.22,19.82
CARYSIL,Carysil,1125.70,32.33,3201.78,0.21,27.38,45.86,233.72,14.47,17.77
CHEMPLASTS,Chemplast Sanmar,202.29,,3198.40,0.00,-45.38,292.99,1255.55,9.09,0.34
TECHNVISN,Technvision Ven.,5074.50,14485.41,3186.79,0.00,-4.24,-410.84,67.11,70.55,12.87
NAVNETEDUL,Navneet Educat.,143.97,20.47,3184.81,2.08,39.00,-47.07,430.00,-0.92,10.23
NIITMTS,NIIT Learning,230.18,13.81,3172.79,1.30,57.41,8.82,565.08,25.20,20.59
NPST,Network People,1519.20,77.63,3169.58,0.13,12.24,134.87,61.98,135.22,19.67
ANTELOPUS,Antelopus Selan,894.45,35.10,3145.10,0.00,38.08,157.65,102.01,65.28,21.22
RML,Rane (Madras),1130.40,28.64,3124.10,1.42,36.96,522.22,1047.87,16.26,13.95
UNIPARTS,Uniparts India,689.50,19.34,3112.62,2.21,51.15,124.05,338.93,34.07,21.60
HERITGFOOD,Heritage Foods,335.30,24.52,3111.45,0.75,24.97,-38.42,1338.09,17.71,14.80
STEELCAS,Steelcast,306.65,35.93,3103.30,0.56,23.18,-13.41,112.43,-6.38,32.30
KKCL,Kewal Kir.Cloth.,502.30,21.81,3095.43,0.80,34.54,6.42,323.80,12.38,18.08
SANGAMIND,Sangam India,615.85,24.63,3094.43,0.32,39.35,618.23,845.54,7.61,10.67
EUROPRATIK,Euro Pratik Sale,301.65,37.17,3082.86,0.07,21.53,45.91,93.49,28.14,38.38
DEEPINDS,Deep Industries,479.60,8.29,3069.44,0.64,-7.22,417.40,248.71,48.72,16.48
TVSSRICHAK,TVS Srichakra,3964.20,43.47,3036.58,0.43,36.09,169.70,980.94,19.86,7.54
CARRARO,Carraro India,534.00,22.56,3035.87,0.85,41.02,77.50,602.93,36.84,28.67
DPABHUSHAN,D.P. Abhushan,1328.05,12.64,3031.66,0.00,64.45,76.96,852.40,57.74,39.57
BEPL,Bhansali Engg.,121.81,15.17,3031.34,3.28,65.60,42.95,472.15,53.34,23.75
WINDMACHIN,Windsor Machines,292.20,2498.41,3023.08,0.00,7.24,212.70,184.64,52.82,2.11
INTERARCH,Interarch Build.,1799.30,22.05,3017.76,0.69,36.60,-5.38,503.62,8.65,22.82
PANAMAPET,Panama Petrochem,498.25,14.18,3014.09,0.60,71.08,60.56,822.77,18.35,19.15
NITINSPIN,Nitin Spinners,535.20,16.95,3008.89,0.56,57.36,23.70,859.79,2.20,12.21
SUNCLAY,Sundaram Clayton,1363.20,,3005.33,0.35,426.41,-44.36,518.11,-11.72,-3.34
BUILDPRO,Shankara Buildpro,1236.20,23.12,2997.70,0.40,41.50,41.69,1996.30,27.95,39.02
ELPROINTL,Elpro Internatio,176.52,34.24,2991.65,0.40,-91.97,-1347.90,185.44,165.37,6.57
BALMLAWRIE,Balmer Lawrie,174.60,10.79,2985.73,4.87,82.80,12.47,743.91,22.32,14.60
WONDERLA,Wonderla Holiday,468.75,34.97,2974.22,0.43,16.42,24.52,135.85,40.37,6.42
SATIN,Satin Creditcare,268.87,8.94,2970.23,0.00,162.04,640.16,919.50,49.48,13.84
RPSGVENT,RPSG Ventures,893.95,,2957.76,0.00,-72.00,-327.88,2927.03,15.18,10.61
ASHIKA,Ashika Credit,399.25,48.96,2951.48,0.00,-35.50,24.89,49.79,13.99,13.33
MOREPENLAB,Morepen Labs.,53.80,39.60,2947.99,0.37,15.70,-22.54,484.72,4.05,8.05
TCPLPACK,TCPL Packaging,3226.50,27.72,2936.12,0.77,21.17,-36.69,436.06,6.45,17.88
KITEX,Kitex Garments,147.04,292.76,2933.45,0.34,-9.28,-111.83,166.17,-44.64,1.53
DALMIASUG,Dalmia Bharat,361.95,12.67,2929.60,1.66,105.46,-46.94,990.73,-2.44,8.25
HLEGLAS,HLE Glascoat,418.95,54.38,2909.81,0.26,20.15,-9.28,391.69,17.37,11.79
RSYSTEMS,R Systems Intl.,245.51,12.60,2909.11,5.09,65.41,69.50,574.77,29.90,19.48
APCOTEXIND,Apcotex Industri,561.05,28.99,2908.76,1.43,34.74,107.28,397.58,13.79,19.80
542866,Colab Platforms,141.90,613.30,2894.76,0.01,0.83,-12.63,50.85,148.90,24.27
DIVGIITTS,Divgi Torq,945.60,61.62,2891.92,0.27,15.48,189.35,107.62,84.85,10.21
EFCIL,EFC (I),195.30,12.48,2889.39,0.00,68.86,58.16,292.88,38.80,19.85
PRINCEPIPE,Prince Pipes,261.20,38.39,2887.86,0.19,56.11,132.05,850.07,18.12,6.12
KPL,Kwality Pharma,2781.70,42.47,2886.35,0.00,25.31,74.60,157.11,35.81,24.25
DCAL,Dishman Carbogen,183.58,29.04,2878.22,0.00,21.74,-59.43,851.40,18.85,3.15
INDOTHAI,Indo Thai Sec.,216.30,41.87,2873.29,0.05,11.03,28.70,20.62,46.87,34.58
POKARNA,Pokarna,926.50,35.67,2872.52,0.06,25.61,-56.56,147.24,-43.95,11.48
VSSL,Vardhman Special,296.25,19.99,2864.77,1.01,41.19,106.98,486.01,12.06,15.38
RAMCOIND,Ramco Inds.,329.15,9.50,2858.39,0.38,87.63,128.93,501.83,18.74,4.57
DDEVPLSTIK,DDev Plastiks,275.65,14.13,2852.33,0.63,54.52,5.39,765.66,3.92,31.00
544786,Schneider APW,2356.25,73.55,2850.12,0.00,9.13,-57.89,81.46,-19.51,23.88
BBL,Bharat Bijlee,2519.40,23.70,2847.71,1.39,39.30,-21.88,767.09,23.90,8.37
ORIANA,Oriana Power Ltd,1398.25,11.26,2841.13,0.00,130.41,19.02,1032.49,64.51,39.61
MONARCH,Monarch Networth,357.75,15.66,2837.26,0.28,45.56,84.16,99.87,63.80,27.68
GATEWAY,Gateway Distri,56.38,10.92,2816.99,3.55,63.70,25.51,533.65,-0.24,10.83
DREDGECORP,Dredging Corpn.,1003.30,591.42,2809.24,0.00,86.91,261.22,478.23,3.42,4.28
STALLION,Stallion India,241.90,64.05,2808.11,0.00,10.93,-17.63,109.99,-27.43,11.76
JUBLCPL,Jubilant Agri,1851.50,21.51,2805.48,0.00,19.93,30.04,485.20,21.82,39.86
NSIL,Nalwa Sons Invst,5452.50,51.41,2802.59,0.00,5.51,121.44,27.38,122.96,0.48
MAITHANALL,Maithan Alloys,959.30,6.44,2792.67,1.67,-70.68,-15.44,559.18,28.48,14.83
ARVSMART,Arvind SmartSp.,608.80,28.95,2792.38,0.99,44.17,120.99,155.39,-4.72,12.90
JINDALPOLY,Jindal Poly Film,637.35,,2790.73,0.93,-96.92,-453.42,371.66,-68.66,5.36
PATELENG,Patel Engineerin,28.02,6.98,2779.98,0.00,43.63,-6.06,1421.48,-11.81,13.50
BOROLTD,Borosil,232.34,35.78,2778.50,0.00,10.59,-4.94,284.12,5.16,11.52
JTLIND,JTL Industries,72.64,28.18,2775.15,0.17,37.86,104.58,692.68,47.55,9.57
HUBTOWN,Hubtown,194.98,18.66,2770.68,0.00,26.22,546.18,160.00,65.37,9.52
SASKEN,Sasken Technol.,1821.00,48.09,2765.46,1.37,29.00,144.70,334.02,125.67,9.90
SIYSIL,Siyaram Silk,609.45,13.54,2765.08,1.97,97.78,35.71,853.29,15.91,18.82
GANDHAR,Gandhar Oil Ref.,282.46,9.17,2764.71,0.71,205.89,633.09,1731.93,91.81,13.19
GKENERGY,GK Energy,136.14,13.72,2761.15,0.00,59.05,31.66,418.57,18.74,40.87
ORIENTCEM,Orient Cement,133.80,12.92,2749.05,0.37,77.00,-62.44,604.00,-30.25,16.46
ROADSTAR,Roadstar Infra,60.00,,2732.86,8.83,-155.64,-1623.01,286.67,-9.82,2.18
NXT-INFRA,Nxt-Infra Trust,95.50,26.99,2721.75,18.03,-1.19,-101.27,87.47,-26.91,6.35
EASEMYTRIP,Easy Trip Plann.,6.83,,2721.52,0.00,-15.41,-188.41,151.91,8.91,0.63
AUTOAXLES,Automotive Axles,1798.90,16.10,2718.14,1.78,53.89,17.33,664.30,18.70,21.55
SPORTKING,Sportking India,213.74,22.69,2716.04,0.47,32.76,-7.30,636.78,1.27,13.00
ROSSARI,Rossari Biotech,489.80,18.00,2713.20,0.10,35.10,4.46,697.20,28.23,13.33
INDNIPPON,India Nipp.Elec.,1198.00,29.71,2710.05,1.29,39.83,4.11,299.46,28.11,16.96
MANGLMCEM,Mangalam Cement,984.05,18.53,2705.87,0.15,65.23,371.61,490.40,-2.49,10.76
PANACEABIO,Panacea Biotec,441.20,,2702.38,0.00,-1.00,93.02,166.75,25.82,-2.44
PARAGMILK,Parag Milk Foods,214.20,19.20,2690.56,0.47,32.24,23.01,945.34,2.95,13.52
ZAGGLE,Zaggle Prepaid,199.97,20.24,2688.77,0.00,37.77,18.18,592.71,44.05,13.49
BNAGROCHEM,BN Agrochem,274.90,78.20,2687.78,0.00,2.95,-84.68,261.36,22.02,4.38
HIKAL,Hikal,217.40,73.84,2680.56,0.64,14.40,22.51,519.40,-5.97,3.52
NOCIL,NOCIL,160.11,58.11,2674.24,0.94,17.00,-18.23,330.35,-2.75,3.93
RAMCOSYS,Ramco Systems,710.95,42.41,2672.03,0.00,0.56,-36.17,172.77,7.10,19.33
544310,Yash Highvoltage,931.30,68.48,2664.45,0.11,23.72,68.89,135.57,46.53,28.66
MMFL,M M Forgings,551.85,23.54,2664.42,0.72,48.10,32.80,413.34,16.51,9.47
FMGOETZE,Federal-Mogul Go,478.85,14.60,2663.84,0.00,50.80,-14.39,488.58,6.50,18.52
FLAIR,Flair Writing,252.50,19.04,2661.23,0.40,36.53,16.15,322.95,8.35,16.80
DIAMONDYD,Prataap Snacks,1111.40,247.66,2657.42,0.04,1.14,109.55,420.18,4.89,3.08
AIMTRON,Aimtron,1283.95,57.56,2646.12,0.00,25.69,77.79,178.58,75.94,27.65
KIRIINDUS,Kiri Industries,405.55,,2642.89,0.00,514.36,699.61,250.50,22.18,-1.69
IMAGICAA,Imagica. Enter.,46.66,4190.97,2640.31,0.00,0.40,-97.76,91.86,-2.69,1.86
UFBL,United Foodbrands,674.85,,2637.74,0.00,-15.07,33.71,360.40,23.10,1.52
JNKINDIA,JNK,470.90,40.57,2634.87,0.06,33.04,146.60,338.44,77.25,17.35
RAJESHEXPO,Rajesh Exports,88.93,23.34,2625.75,0.00,-53.50,-2843.59,236864.21,18.91,1.86
PARKHOTELS,Apeejay Surrend.,122.39,39.08,2611.49,0.41,11.88,-54.63,183.70,3.60,9.43
CONFIPET,Confidence Petro,78.30,28.01,2601.45,0.13,34.39,37.50,1215.69,31.45,9.23
ADOR,Ador Welding,1493.90,21.71,2599.81,1.54,27.35,890.46,308.63,23.19,22.71
EVEREADY,Eveready Inds.,357.00,25.93,2594.94,0.70,141.76,790.21,327.23,9.43,17.23
CAPINVIT,Capital Infra,72.24,6.33,2593.28,3.21,125.62,270.40,259.29,37.41,7.19
SUNDROP,Sundrop Brands,687.05,128.66,2589.96,0.00,9.85,-65.94,386.55,27.21,1.97
RELINFRA,Reliance Infra.,63.19,1.13,2582.14,0.00,1640.15,-71.11,4001.28,-2.60,15.34
MARATHON,Marathon Nextgen,382.75,12.61,2581.44,0.26,45.52,-16.14,113.55,-23.58,12.50
UTKARSHBNK,Utkarsh Small F.,14.45,,2571.41,0.00,-188.02,-6430.64,836.75,-4.87,1.46
RAMKY,Ramky Infra,371.10,11.34,2567.93,0.00,52.12,54.83,506.68,3.64,13.66
BLSE,BLS E-Services,282.32,44.61,2565.06,0.35,18.24,11.67,323.37,35.18,17.00
STOVEKRAFT,Stove Kraft,773.40,60.98,2560.52,0.39,6.05,317.24,414.52,32.44,11.30
GLOBUSSPR,Globus Spirits,880.45,25.47,2560.38,0.31,26.48,49.05,788.78,12.71,11.45
VIMTALABS,Vimta Labs,570.45,31.55,2549.16,0.35,21.04,11.38,109.07,11.80,25.23
543619,Concord Control,2453.50,60.08,2547.57,0.00,24.88,73.02,128.93,72.57,30.64
MEDIASSIST,Medi Assist Ser.,340.05,26.43,2540.24,0.00,54.47,148.10,241.99,28.13,13.95
SILVERTUC,Silver Touch,200.14,71.03,2537.98,0.02,13.22,43.54,100.53,17.35,28.93
EPACKPEB,EPack PrefabTech,251.92,27.37,2535.10,0.00,30.29,51.30,470.80,42.41,21.71
SPAL,S P Apparels,1002.80,25.00,2520.93,0.20,18.59,-39.23,364.91,-8.59,14.04
ARKADE,Arkade,135.61,13.69,2517.78,0.74,-109.57,118.04,196.58,49.55,19.29
BOMDYEING,Bombay Dyeing,121.71,385.54,2513.74,0.33,21.04,81.58,395.84,10.26,1.27
NITCO,Nitco,104.11,76.13,2504.53,0.00,-7.79,-171.23,152.33,62.85,7.07
NILKAMAL,Nilkamal Ltd,1676.10,19.84,2500.74,1.19,41.69,21.65,965.18,7.96,10.61
FISCHER,Fischer Medical,37.94,80.05,2483.23,0.01,-7.10,-641.98,97.73,98.76,11.43
RANEHOLDIN,Rane Holdings,1738.40,31.37,2482.44,2.70,87.54,787.20,1608.65,17.11,9.52
INA,Insolation Ener,112.57,12.37,2481.60,0.09,69.84,64.76,793.93,100.10,22.20
ELITECON,Elitecon Inter.,15.51,7.74,2479.27,0.32,103.57,676.39,1741.26,1750.04,
RAJRATAN,Rajratan Global,488.30,31.13,2479.15,0.41,22.96,69.82,318.35,29.14,13.23
GSPCROP,GSP Crop Science,530.50,24.39,2467.82,0.00,19.64,-9.49,402.47,30.68,18.95
ADVAIT,Advait Energy,2252.40,47.66,2464.80,0.08,19.08,55.55,228.20,18.04,27.91
MUFIN,Mufin Green,124.32,87.14,2463.55,0.00,11.09,184.36,64.66,59.50,10.73
KLBRENG-B,Kilburn Engg.,439.50,25.58,2461.22,0.46,24.86,21.80,189.18,49.03,23.18
GIPCL,Guj Inds. Power,157.23,6.06,2440.46,2.60,326.85,368.74,428.26,26.61,5.47
VEEDOL,Veedol Corporat,1398.80,12.72,2437.27,4.15,57.46,-3.75,606.98,14.04,24.23
REPCOHOME,Repco Home Fin,388.40,5.11,2429.88,1.16,135.18,12.04,453.52,6.42,10.17
DRAGARWQ,Dr Agarwal's Eye,5021.50,34.62,2426.80,0.12,16.24,1.56,120.01,20.21,17.36
TALBROAUTO,Talbros Auto.,391.75,23.23,2418.20,0.18,31.62,18.96,236.55,14.91,18.56
MOLDTKPAC,Mold-Tek Pack.,727.45,33.45,2417.24,0.55,20.64,26.86,237.86,17.40,13.32
SIKA,Sika Interplant,1139.60,68.79,2416.05,0.31,7.83,-1.01,41.33,-10.19,34.56
BETA,Beta Drugs Ltd,2315.60,52.93,2412.98,0.00,16.48,35.04,125.55,25.29,19.16
PROTEAN,Protean eGov,593.90,23.22,2412.49,1.68,30.38,51.37,307.54,38.44,12.69
AJMERA,Ajmera Realty,122.57,16.10,2412.12,0.73,58.53,119.94,431.13,184.78,14.28
ORIENTHOT,Oriental Hotels,134.84,35.86,2408.23,0.48,5.30,-20.06,111.48,3.56,12.12
PIXTRANS,Pix Transmission,1766.10,22.65,2407.19,0.51,20.22,-10.73,170.77,4.91,21.73
HUHTAMAKI,Huhtamaki India,318.68,17.64,2406.73,0.63,43.73,76.83,750.02,22.51,11.98
RISHABH,Rishabh Instrum.,622.30,29.52,2405.93,0.32,20.03,212.20,204.86,9.29,14.50
CAMLINFINE,Camlin Fine,124.47,65.62,2391.03,0.00,86.28,-60.50,424.81,-1.57,4.78
KNACK,Knack Packaging,194.88,25.50,2384.65,0.00,,,,,35.26
GREENPANEL,Greenpanel Inds.,194.24,,2381.91,0.26,1.37,-95.34,398.93,6.52,-0.40
SAIPARENT,Sai Parenteral's,535.60,165.94,2366.24,0.00,13.16,,197.93,,5.97
SOLARA,Solara Active,491.95,550.55,2350.85,0.00,16.31,55.04,381.60,19.57,4.86
NIBE,NIBE,1504.30,414.20,2331.93,0.08,27.57,282.59,259.50,130.48,4.79
539682,Mobavenue AI Tech,300.95,79.26,2326.28,0.07,8.44,752.53,62.62,1285.40,75.89
515008,Modern Insulator,492.90,29.13,2323.72,0.00,23.84,186.54,202.51,26.60,19.40
SAGCEM,Sagar Cements,177.54,,2320.58,0.00,100.05,297.08,786.96,19.59,1.97
KICL,Kalyani Invest.,5298.00,62.97,2315.23,0.00,19.31,-24.81,21.80,1.68,0.49
COSMOFIRST,Cosmo First,881.00,14.36,2312.60,0.45,36.91,53.17,1020.68,36.85,11.23
TASTYBITE,Tasty Bite Eat.,8999.00,64.68,2309.14,0.11,6.01,-2.91,117.70,-11.99,14.03
513119,Onix Solar,623.85,38.26,2300.01,0.00,20.83,1962.38,93.74,107.39,10.21
ANANTAM,Anantam Highways,105.42,11.88,2292.89,2.37,202.87,405840.00,222.54,,13.71
TVSINVIT,TVS Infra. Trust,116.05,67.47,2288.51,3.96,5.66,,56.08,,
BRIGHOTEL,Brigade Hotel,60.16,39.04,2285.13,0.00,25.11,102.47,136.39,1.70,12.85
VINCOFE,Vintage Coffee,156.18,31.52,2275.36,0.06,21.01,34.34,165.31,57.23,18.18
RHETAN,Rhetan TMT Ltd,28.35,219.33,2259.14,0.00,2.22,362.50,8.49,30.82,10.93
ALEMBICLTD,Alembic,87.94,7.25,2258.14,2.73,67.13,-1.93,60.04,-0.38,6.07
EPACK,Epack Durable,234.57,692.40,2257.23,0.00,0.02,-99.95,591.05,-8.12,4.55
TAJGVK,TajGVK Hotels,359.90,14.64,2256.63,0.56,319.75,36.09,158.52,27.06,13.25
VERANDA,Veranda Learning,233.78,96.64,2252.49,0.00,15.69,103.09,132.39,51.60,12.83
ORISSAMINE,Orissa Minerals,3747.00,,2248.20,0.00,-7.61,75.97,29.00,331.55,9.64
INDOCO,Indoco Remedies,243.42,,2246.85,0.08,-23.68,38.96,475.61,21.89,0.93
EMSLIMITED,EMS,403.30,24.74,2239.56,0.37,5.71,-88.00,120.50,-55.34,12.51
VINDHYATEL,Vindhya Telelink,1886.00,10.15,2234.91,0.32,103.47,-5.89,1009.30,-18.02,8.15
SIRCA,Sirca Paints,393.45,34.36,2234.51,0.51,17.71,25.07,134.29,33.07,20.28
SAKSOFT,Saksoft,168.30,16.32,2230.84,0.59,35.93,19.65,248.85,3.74,25.48
EXICOM,Exicom Tele-Sys.,160.30,,2229.45,0.00,-54.31,13.57,387.95,46.10,-14.66
PRAKASH,Prakash Industri,123.77,6.65,2216.50,1.21,93.32,2.74,919.87,8.91,9.55
JISLJALEQS,Jain Irrigation,30.37,,2211.33,0.00,-19.04,-164.41,1823.97,4.30,5.30
PENIND,Pennar Industrie,162.84,15.90,2206.42,0.00,41.04,15.38,924.80,2.10,15.33
VENUSREM,Venus Remedies,1649.00,18.97,2204.22,0.61,22.97,139.27,178.86,30.38,21.67
TEAMLEASE,Team Lease Serv.,1313.70,15.22,2202.93,0.00,46.05,25.60,2924.87,2.34,15.36
ELCIDIN,Elcid Investment,109500.00,20.21,2190.00,0.02,-41.22,-110.95,-63.72,-264.53,1.43
BFUTILITIE,BF Utilities,580.40,867.38,2185.79,0.00,-3.64,-6985.71,1.67,-29.54,3.88
HMT,HMT,61.39,,2183.04,0.00,-27.24,-9.31,20.83,-28.64,
SANSTAR,Sanstar,108.97,63.35,2182.32,0.00,20.49,271.20,216.78,-4.47,5.69
GNA,GNA Axles,507.00,16.46,2176.59,0.59,38.27,66.46,470.44,36.67,14.33
SERVOTECH,Servotech Renew,95.64,57.66,2159.98,0.05,8.06,74.62,215.79,57.81,12.82
APOLLOPIPE,Apollo Pipes,490.30,,2159.68,0.14,-0.13,-89.88,347.02,10.24,1.23
TCIEXP,TCI Express,561.15,26.13,2155.88,1.43,16.03,-9.50,328.08,6.77,13.76
JAYKAY,Jaykay Enter.,165.16,32.14,2151.82,0.00,179.82,586.84,61.16,458.03,8.18
HPL,HPL Electric,333.50,22.57,2144.42,0.30,30.90,-16.91,519.70,5.51,13.46
HINDOILEXP,Hind.Oil Explor.,162.04,67.77,2142.87,0.00,7.77,-84.81,-205.89,-574.51,3.41
ALPEXSOLAR,Alpex Solar,836.35,10.57,2136.29,0.00,53.27,50.27,671.96,105.25,43.53
STYLEBAAZA,Baazar Style,280.40,96.88,2134.33,0.00,-25.64,22.03,465.71,34.86,7.43
NELCO,NELCO,932.80,356.56,2128.65,0.11,2.34,15.56,80.03,7.01,7.21
LANDMARK,Landmark Cars,512.80,54.46,2126.32,0.10,15.03,1089.82,1278.52,17.16,9.26
GEOJITFSL,Geojit Fin. Ser.,76.15,27.33,2125.51,1.97,19.83,-28.49,160.40,11.38,9.02
VENKEYS,Venky's (India),1505.20,15.23,2120.43,0.66,101.37,662.18,1100.47,30.52,11.89
HONDAPOWER,Honda India,2089.20,29.53,2118.45,6.05,26.92,-29.45,264.53,-1.54,11.49
SHRINGARMS,Shringar House,219.66,18.34,2118.23,0.00,34.01,123.46,725.56,106.50,26.83
SPANDANA,Spandana Sphoort,261.50,,2111.64,0.00,11.88,103.30,283.91,-5.51,-5.81
524520,KMC Speciality,128.90,44.99,2102.36,0.00,14.63,223.67,82.25,34.99,26.04
BGRENERGY,BGR Energy Sys.,291.10,,2100.62,0.00,-770.59,-132.48,50.12,-61.47,-26.94
KCP,K C P,162.64,10.40,2096.77,0.31,121.10,130.30,683.75,7.71,12.20
BHARATRAS,Bharat Rasayan,1261.10,13.35,2096.08,0.03,39.12,51.97,308.02,0.49,17.53
BAJEL,Bajel Projects,178.90,71.37,2069.82,0.34,14.14,193.36,1007.77,25.75,10.96
GMBREW,G M Breweries,904.45,12.25,2066.39,1.00,37.74,45.94,199.58,22.55,17.96
THEJO,Thejo Engg.,1898.80,40.21,2059.72,0.26,16.59,4.07,181.17,18.26,19.40
KPEL,K.P. Energy,302.80,11.32,2052.93,0.21,78.69,71.85,631.81,57.48,39.22
SURYODAY,Suryoday Small,193.10,10.70,2052.46,0.78,75.18,113.10,622.36,25.69,7.33
LAOPALA,La Opala RG,184.35,21.85,2046.29,4.07,16.17,-37.06,68.39,-11.30,15.27
ANONDITA,Anondita Medi.,1128.70,61.03,2041.44,0.00,21.27,85.87,83.32,82.76,43.60
INDIANHUME,Indian Hume Pipe,387.15,33.83,2039.57,0.52,22.98,-36.06,351.30,-10.41,9.51
SOMANYCERA,Somany Ceramics,496.70,24.40,2037.11,1.21,37.40,88.57,817.93,6.36,12.80
TIRUMALCHM,Thirumalai Chem.,167.74,,2022.15,0.00,-28.00,-42.39,424.25,-18.89,-3.15
PARACABLES,Paramount Comm.,61.64,33.77,2017.10,0.00,20.52,9.50,573.31,13.07,12.35
ARMANFIN,Arman Financial,1917.30,35.61,2016.00,0.00,41.01,221.39,175.58,-11.92,11.74
543920,CFF Fluid,960.30,51.35,2014.14,0.13,20.07,104.80,104.61,59.64,23.50
HESTERBIO,Hester Bios,2367.40,37.55,2013.92,0.46,16.54,993.46,100.11,22.19,15.25
DCXINDIA,DCX Systems,180.68,,2012.53,0.00,-0.30,-101.45,207.27,-62.31,0.87
CANTABIL,Cantabil Retail,239.83,20.95,2005.89,0.42,29.23,29.85,253.46,15.33,19.07
MSPL,MSP Steel & Pow.,35.37,14.81,2004.76,0.00,85.20,351.85,816.32,7.40,9.69
SBC,SBC Exports,42.07,79.28,2003.33,0.00,8.22,104.99,141.60,47.04,18.17
516038,KS Smart Technlogies,122.10,26.88,2003.29,0.00,56.58,,814.69,,
MUKANDLTD,Mukand,138.40,29.03,1999.82,1.45,554.98,4991.56,1269.09,14.65,4.44
SUMEETINDS,Sumeet Industrie,28.77,73.73,1998.80,0.00,7.50,100.25,265.72,9.34,13.23
ESAFSFB,ESAF Small Fin,38.69,,1996.42,0.00,23.51,112.83,995.08,11.55,5.65
544037,Amic Forging,1724.80,70.46,1991.94,0.00,15.87,23.69,75.20,30.44,23.46
NGLFINE,NGL Fine Chem,3205.50,47.59,1981.00,0.05,11.35,2282.69,144.75,55.61,15.07
JGCHEM,J.G.Chemicals,505.35,30.06,1980.27,0.20,18.90,18.63,286.17,27.61,18.13
TINNARUBR,Tinna Rubber,1098.85,32.10,1979.66,0.36,20.57,75.21,156.18,19.89,22.31
INDSWFTLAB,Ind-Swift Labs.,227.49,39.98,1978.29,0.00,15.11,9.35,169.79,22.82,4.70
KRISHNADEF,Krishna Defence,1316.80,51.66,1968.32,0.09,12.30,64.44,64.85,42.18,31.07
GOCLCORP,GOCL Corpn.,396.55,7.30,1965.80,2.52,75.15,118.14,2.33,-21.81,13.09
HGS,Hinduja Global,422.55,,1965.71,0.00,-13.58,-430.06,1084.67,-6.58,1.42
MVKAGRO,M.V.K. Agro,387.70,41.99,1958.04,0.00,30.60,534.85,133.94,96.13,14.37
DYCL,Dynamic Cables,402.40,21.39,1949.98,0.12,24.95,37.01,349.10,33.22,26.21
SHK,S H Kelkar & Co.,140.65,39.85,1946.89,0.71,1.80,-96.22,649.94,14.55,5.85
AWFIS,AWFIS Space,271.85,27.46,1945.45,0.00,23.25,110.41,410.14,20.74,13.17
AEROPLANE,A C J K Exports,187.84,18.83,1945.11,0.00,19.96,65.64,694.68,19.70,15.70
GRANDOAK,Grand Oak Canyon,37.48,21608.67,1944.78,0.00,0.01,111.11,0.00,,0.00
NDRAUTO,NDR Auto Compon.,812.75,30.92,1933.15,0.49,18.45,12.57,229.07,19.28,22.18
SCILAL,Shipping Land,41.33,66.80,1925.15,1.33,-0.84,99.63,5.81,19.06,1.31
ALGOQUANT,Algoquant Fin,68.41,58.73,1922.98,0.00,15.88,1398.11,77.28,43.35,31.43
PRABHA,Prabha Energy,139.86,3359.23,1914.76,0.00,0.10,111.24,1.44,41.18,0.10
NUCLEUS,Nucleus Soft.,724.55,16.94,1907.40,1.73,34.55,-43.21,224.77,-1.83,16.83
HATHWAY,Hathway Cable,10.76,25.13,1904.63,0.00,24.56,-21.04,565.10,6.52,2.54
GOODYEAR,Goodyear India,822.85,24.90,1898.31,3.22,9.69,350.92,616.28,2.25,17.40
BCG,Brightcom Group,9.40,1.97,1896.85,0.00,207.83,72.22,1596.64,61.69,14.87
EIHAHOTELS,EIH Assoc.Hotels,310.90,21.04,1894.51,1.13,37.63,-18.69,127.19,-9.09,21.16
SIMPLEXINF,Simplex Infra,239.25,48.01,1892.36,0.00,18.80,-43.16,282.90,0.34,2.40
MARSONS,Marsons,109.92,40.86,1891.72,0.05,22.58,149.89,92.26,65.34,25.39
539607,Blue Cloud Soft.,20.46,31.22,1888.62,0.00,12.11,-7.13,277.52,51.14,14.16
VIDYAWIRES,Vidya Wires,88.54,32.66,1883.18,0.00,19.61,54.53,598.78,57.73,20.69
RICOAUTO,Rico Auto Inds,139.07,33.27,1881.62,0.36,6.87,-20.96,677.49,24.25,9.01
PFS,PTC India Fin,29.28,5.85,1880.61,0.00,45.50,-21.78,119.08,-22.16,11.79
GRMOVER,GRM Overseas,90.20,25.14,1869.03,0.00,21.61,5.52,597.20,104.95,13.99
VIKRAN,Vikran Engg.,71.43,19.90,1842.26,0.00,56.00,48.31,647.40,82.19,16.55
SPICEJET,SpiceJet,12.03,,1835.90,0.00,-269.27,-1104.04,1384.31,12.45,9.10
CEINSYS,Ceinsys Tech,870.05,13.56,1821.68,0.40,37.17,69.96,170.71,19.89,27.46
CAPACITE,Capacit'e Infra.,212.75,9.53,1799.95,0.00,44.55,-11.04,711.78,6.03,15.48
