symbol,name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %
CUMMINSIND,Cummins India,5600.50,64.03,155245.86,1.18,649.46,18.00,3011.18,21.89,39.50
JIOFIN,Jio Financial,234.71,75.00,154982.34,0.21,830.25,174.44,2004.47,227.28,1.86
VBL,Varun Beverages,457.20,48.59,154646.29,0.33,878.72,20.08,6574.19,18.09,19.71
ICICIAMC,ICICI AMC,3125.60,44.32,154485.44,0.87,964.63,23.10,1564.22,17.55,115.10
TRENT,Trent,2890.50,89.29,154130.80,0.14,413.10,25.83,5027.99,19.23,28.34
MOTHERSON,Samvardh. Mothe.,145.55,36.03,153619.91,0.41,1561.56,55.33,34309.31,17.03,13.43
TECHM,Tech Mahindra,1559.50,28.73,152844.23,3.27,1486.30,28.45,15711.90,17.68,23.12
TMCV,Tata Motors,406.15,37.79,149572.87,0.98,1793.00,34.91,26098.00,19.37,35.90
CHOLAFIN,Cholaman.Inv.&Fn,1724.40,28.07,147032.36,0.12,1645.20,30.62,8416.71,19.46,9.71
BHEL,B H E L,417.30,59.74,145306.50,0.34,376.71,182.70,7697.72,40.29,9.14
TATACAP,Tata Capital,341.90,29.75,145132.07,0.17,1466.27,42.82,8160.10,9.12,8.58
BSE,BSE,3549.70,58.18,144578.95,0.28,795.47,61.47,1563.51,84.67,58.03
IDEA,Vodafone Idea,13.13,,142254.40,0.00,51970.00,23.08,11332.00,2.88,-1.60
POWERINDIA,Hitachi Energy,31070.00,134.73,138486.34,0.03,330.46,79.71,2754.05,46.21,29.02
CGPOWER,CG Power & Ind,867.70,107.38,136663.96,0.15,308.28,16.26,3280.81,13.99,26.71
PFC,Power Fin.Corpn.,411.90,5.25,135931.19,4.50,8597.61,10.81,28919.52,-1.18,9.71
BPCL,B P C L,310.15,8.68,134558.75,5.64,-1872.70,-154.52,151277.03,34.41,25.69
POLYCAB,Polycab India,8907.50,46.85,134193.25,0.53,796.66,32.46,8209.73,39.01,33.21
SIEMENS,Siemens,3689.80,46.84,131401.34,0.49,370.40,-9.59,4617.50,14.60,21.44
UNIONBANK,Union Bank (I),170.50,6.30,130152.98,2.93,5641.52,27.41,27427.10,1.21,6.30
BRITANNIA,Britannia Inds.,5379.50,51.17,129575.10,1.68,679.68,21.14,4718.92,6.47,56.00
BANKBARODA,Bank of Baroda,246.45,5.77,127448.22,3.45,1839.26,64.60,35114.52,6.84,5.63
PNB,Punjab Natl.Bank,110.38,5.74,126859.11,2.72,5834.77,174.29,33589.17,3.12,6.13
GROWW,Billionbrains,202.15,51.98,126820.76,0.00,735.04,94.28,1501.42,66.01,37.32
APOLLOHOSP,Apollo Hospitals,8805.50,64.74,126609.58,0.23,551.30,35.86,6605.50,18.12,17.89
BOSCHLTD,Bosch,41755.00,59.00,123160.97,0.65,570.00,2.98,5565.70,13.34,21.54
LTM,LTM,4091.80,21.64,121371.51,1.83,1468.60,16.92,11608.00,17.96,29.60
HDFCLIFE,HDFC Life Insur.,555.05,61.05,120583.22,0.38,611.19,11.46,33758.51,14.58,10.30
MUTHOOTFIN,Muthoot Finance,2986.70,11.32,119906.59,1.00,3397.48,126.67,9288.71,65.23,15.77
TATAPOWER,Tata Power Co.,374.40,31.11,119633.51,0.67,1415.52,1.65,14900.20,-12.84,10.53
SBIFUNDS,SBI Funds Mgt.,587.30,39.00,119622.89,0.00,,,,,56.50
TMPV,Tata Motors PVeh,323.80,1.38,119242.03,0.93,5878.00,-24.63,105447.00,7.19,2.73
BAJAJHLDNG,Bajaj Holdings,10679.00,14.70,118846.59,1.36,2576.96,49.23,60.54,-58.32,11.00
ENRIN,Siemens Ener.Ind,3240.20,85.58,115390.17,0.12,374.60,52.21,2394.10,27.38,67.75
IRFC,I R F C,87.62,16.34,114506.25,2.40,1684.31,0.15,7336.05,9.11,5.64
LODHA,Lodha Developers,1144.10,27.71,114310.36,0.37,1373.10,103.36,4996.70,43.10,16.41
CANBK,Canara Bank,125.65,6.35,113972.73,3.34,4575.11,-9.78,31838.54,1.09,6.52
CIPLA,Cipla,1410.60,31.84,113954.66,0.92,785.55,-39.19,7119.28,2.33,15.49
GMRAIRPORT,GMR Airports,107.12,543.85,113107.75,0.00,400.49,203.18,3938.16,37.54,11.65
GAIL,GAIL (India),170.02,14.74,111789.84,4.41,1481.46,-40.41,35576.55,-2.37,9.68
INDIANB,Indian Bank,826.10,8.70,111272.69,2.21,3357.44,20.47,18095.14,11.11,6.32
MARICO,Marico,855.60,63.39,111089.94,0.47,408.00,13.99,3333.00,22.09,47.05
ZYDUSLIFE,Zydus Lifesci.,1108.70,20.38,110593.25,0.09,1341.00,21.92,7587.00,16.22,21.14
LLOYDSME,Lloyds Metals,1940.50,29.37,109232.09,0.05,1530.10,603.14,6019.72,404.46,27.29
GODREJCP,Godrej Consumer,1059.50,54.70,108419.16,1.89,451.77,19.47,3900.44,10.99,18.75
LUPIN,Lupin,2370.50,19.06,108386.97,0.76,1468.67,101.49,7474.66,31.89,29.93
ABCAPITAL,Aditya Birla Cap,393.85,27.61,107761.58,0.00,1164.72,29.46,13459.25,10.19,8.72
TATACONSUM,Tata Consumer,1088.00,65.28,107674.13,0.92,427.19,27.78,5348.88,11.93,9.24
HDFCAMC,HDFC AMC,2505.70,36.42,107441.10,2.16,838.36,12.09,1098.50,13.51,42.88
UNITDSPR,United Spirits,1467.20,57.58,106716.92,1.16,463.00,-20.54,2708.00,-10.36,26.39
GVT&D,GE Vernova T&D,4157.40,83.21,106450.23,0.24,351.77,86.32,1637.08,42.04,76.43
JINDALSTEL,Jindal Steel,1035.80,34.22,105660.73,0.19,843.80,-43.45,15482.13,25.93,9.70
AMBUJACEM,Ambuja Cements,425.15,21.14,105642.00,0.47,1857.43,102.92,10915.47,9.37,5.61
MAXHEALTH,Max Healthcare,1080.40,70.88,105149.26,0.19,342.22,7.28,2142.89,12.21,14.71
INDUSTOWER,Indus Towers,394.60,14.57,104101.90,0.00,1792.90,0.78,8101.00,4.84,19.49
LGEINDIA,LG Electronics,1527.20,61.52,103662.12,0.00,692.73,-8.19,8053.55,8.12,32.23
