"INSTRUMENT TYPE 
","SYMBOL 
","EXPIRY DATE 
","OPTION TYPE 
","STRIKE 
","LTP 
","CHNG 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","VOLUME 
(Contracts)","VALUE 
 (₹ Crores)","OPEN INTEREST 
","UNDERLYING VALUE 
"
Index Futures,NIFTY,28-Jul-26,-,-,"23,830.00",-43.6,-0.18,"23,700.00","23,854.00","23,640.00","65,162","10,057.35","1,57,943","23,767.45"
Index Futures,NIFTY,25-Aug-26,-,-,"23,890.00",-44.2,-0.18,"23,814.00","23,906.00","23,701.00","61,334","9,488.16","1,25,937","23,767.45"
Index Futures,NIFTY,29-Sep-26,-,-,"24,025.10",-57.4,-0.24,"23,924.00","24,050.80","23,840.00","4,853",754.88,"12,635","23,767.45"
